table,company_id,row_count,reason
profitandloss,ULTRACEMCO,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
profitandloss,UNIONBANK,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
profitandloss,UNITDSPR,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
profitandloss,VBL,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
profitandloss,VEDL,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
profitandloss,WIPRO,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
profitandloss,ZOMATO,8,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
profitandloss,ZYDUSLIFE,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
balancesheet,ULTRACEMCO,13,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
balancesheet,UNIONBANK,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
balancesheet,UNITDSPR,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
balancesheet,VEDL,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
balancesheet,WIPRO,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
balancesheet,ZOMATO,7,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
balancesheet,ZYDUSLIFE,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,AGTL,7,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,ULTRACEMCO,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,UNIONBANK,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,UNITDSPR,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,VBL,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,VEDL,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,WIPRO,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,ZOMATO,5,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
cashflow,ZYDUSLIFE,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
analysis,WIPRO,4,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,ULTRACEMCO,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,UNIONBANK,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,UNITDSPR,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,VBL,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,VEDL,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,WIPRO,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,ZOMATO,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
documents,ZYDUSLIFE,16,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
prosandcons,WIPRO,2,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
financial_ratios,ULTRACEMCO,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
financial_ratios,UNIONBANK,12,company_id not present in companies.xlsx (92 companies) - this ticker has transaction data but no company master record
